Timestamp,Total_Memory_Used_GB,Total_Memory_Used,Working_Set_GB,Peak_Working_Set_GB,CPU_Clock_MHz,CPU_Usage,Cores_Usage
2016-03-09T11:51:49.155377,4.40176391601563,27.5391657028681,0.000148773193359375,0.000148773193359375,2395,22,75;43;37;81;
2016-03-09T11:51:50.294491,4.44003677368164,27.7786157481901,0.0592842102050781,0.0592842102050781,2395,25,18;25;31;68;
2016-03-09T11:51:51.401602,4.44365310668945,27.8012409493229,0.0618476867675781,0.0618858337402344,2395,26,12;25;50;68;
2016-03-09T11:51:52.493711,4.44644927978516,27.8187349075827,0.0647773742675781,0.0647773742675781,2395,42,12;25;25;50;
2016-03-09T11:51:53.585820,4.44769668579102,27.8265391699988,0.0654830932617188,0.0654830932617188,2395,37,25;37;44;37;
2016-03-09T11:51:54.693931,4.45534515380859,27.8743909930697,0.0751419067382813,0.0751419067382813,2395,63,25;31;62;50;
2016-03-09T11:51:55.817043,4.47286224365234,27.9839847943374,0.0933303833007813,0.094207763671875,2395,87,68;62;81;62;
2016-03-09T11:51:56.924154,4.49979400634766,28.1524804905373,0.101863861083984,0.102058410644531,2395,10,6;12;12;0;
2016-03-09T11:51:58.937355,4.48860931396484,28.0825046574979,0.102767944335938,0.102886199951172,2395,31,18;18;12;75;
2016-03-09T11:52:00.153477,4.51263427734375,28.2328142743062,0.103546142578125,0.103549957275391,2371,26,56;44;56;44;
2016-03-09T11:52:01.245586,4.50396728515625,28.1785901635745,0.109210968017578,0.114830017089844,2395,37,0;6;0;0;
2016-03-09T11:52:02.337695,4.50973129272461,28.2146520611606,0.114570617675781,0.118377685546875,2395,22,43;25;37;31;
2016-03-09T11:52:03.461808,4.50860214233398,28.2075876523681,0.116764068603516,0.119224548339844,2395,3,0;12;19;0;
2016-03-09T11:52:04.552917,4.50894927978516,28.2097594807469,0.116909027099609,0.119224548339844,1580,10,25;31;25;50;
2016-03-09T11:52:05.692031,4.50758361816406,28.2012153647073,0.119037628173828,0.119514465332031,2395,19,31;0;19;12;
2016-03-09T11:52:06.784140,4.50949478149414,28.2131723539135,0.119987487792969,0.119987487792969,1580,14,18;12;18;25;
2016-03-09T11:52:07.891250,4.50949096679688,28.2131484876676,0.120635986328125,0.121852874755859,2395,5,18;18;25;12;
2016-03-09T11:52:08.999361,4.50976943969727,28.2148907236198,0.120662689208984,0.121852874755859,2395,4,12;25;6;25;
2016-03-09T11:52:10.091470,4.50963592529297,28.2140554050126,0.120903015136719,0.121879577636719,2371,30,12;0;12;6;
2016-03-09T11:52:11.198581,4.50884628295898,28.209115092107,0.121231079101563,0.121879577636719,1580,15,6;0;0;0;
2016-03-09T11:52:12.301691,4.50869750976563,28.2081843085161,0.121349334716797,0.121879577636719,1580,20,19;25;12;6;
2016-03-09T11:52:13.414803,4.50894165039063,28.209711748255,0.121585845947266,0.122631072998047,1580,20,12;0;0;6;
2016-03-09T11:52:14.521913,4.50870513916016,28.2082320410079,0.1219482421875,0.122631072998047,2395,6,6;6;18;0;
2016-03-09T11:52:15.614023,4.50856018066406,28.207325123663,0.121932983398438,0.122631072998047,1580,0,6;0;18;6;
2016-03-09T11:52:16.722133,4.51046752929688,28.2192582466233,0.122406005859375,0.127609252929688,1580,5,0;19;19;6;
2016-03-09T11:52:17.830244,4.51033020019531,28.2183990617701,0.122406005859375,0.127609252929688,1580,11,19;0;0;0;
2016-03-09T11:52:18.937355,4.51031494140625,28.2183035967865,0.122409820556641,0.127609252929688,1580,12,6;18;0;0;
2016-03-09T11:52:20.044466,4.51025390625,28.2179217368517,0.122257232666016,0.127609252929688,1580,6,7;14;20;1;
2016-03-09T11:52:21.167578,4.51218795776367,28.2300219235335,0.122760772705078,0.127964019775391,2395,25,37;31;6;6;
2016-03-09T11:52:22.244686,4.5157585144043,28.2523607297152,0.126079559326172,0.127964019775391,2395,4,12;6;18;0;
2016-03-09T11:52:23.351796,4.51073837280273,28.2209527500837,0.126304626464844,0.127964019775391,1580,11,12;6;0;6;
2016-03-09T11:52:24.459907,4.51123809814453,28.2240792282993,0.127094268798828,0.127964019775391,2395,14,0;6;6;0;
2016-03-09T11:52:25.552016,4.51120758056641,28.2238882983319,0.127098083496094,0.127964019775391,1580,9,25;37;6;25;
2016-03-09T11:52:26.646126,4.51326370239258,28.2367522048831,0.127456665039063,0.13262939453125,2395,3,12;25;12;0;
2016-03-09T11:52:27.737235,4.51305389404297,28.2354395613575,0.127216339111328,0.13262939453125,2395,5,18;6;12;0;
2016-03-09T11:52:28.828344,4.51384353637695,28.2403798742631,0.127475738525391,0.132678985595703,2371,21,12;6;19;0;
2016-03-09T11:52:29.922453,4.51421356201172,28.2426949001174,0.127849578857422,0.133052825927734,1580,9,0;0;0;0;
2016-03-09T11:52:31.043565,4.51813125610352,28.2672055346779,0.128658294677734,0.133136749267578,2395,9,0;0;19;0;
2016-03-09T11:52:32.150676,4.51497650146484,28.2474681493015,0.128078460693359,0.133358001708984,1580,28,12;12;12;0;
2016-03-09T11:52:33.258787,4.51556777954102,28.2511674174192,0.128108978271484,0.133358001708984,2395,7,19;6;19;0;
2016-03-09T11:52:34.365898,4.51526260375977,28.2492581177456,0.127872467041016,0.133358001708984,2371,12,12;6;12;12;
2016-03-09T11:52:35.459007,4.51518249511719,28.2487569265812,0.127948760986328,0.133358001708984,1580,3,0;18;6;0;
2016-03-09T11:52:36.554116,4.51950073242188,28.2757735169634,0.131938934326172,0.133358001708984,2395,20,25;6;6;0;
2016-03-09T11:52:37.644225,4.51701736450195,28.2602365908691,0.128719329833984,0.133625030517578,1580,14,12;6;0;0;
2016-03-09T11:52:38.765338,4.51704406738281,28.2604036545905,0.128730773925781,0.133625030517578,1580,11,6;6;19;0;
2016-03-09T11:52:39.877449,4.51694107055664,28.2597592659506,0.128555297851563,0.133625030517578,2395,7,6;19;19;12;
2016-03-09T11:52:40.967558,4.51399993896484,28.2413583903458,0.128849029541016,0.133625030517578,2395,11,0;0;12;0;
2016-03-09T11:52:42.060667,4.5146369934082,28.2453440534146,0.128677368164063,0.134414672851563,1724,17,56;37;62;19;
2016-03-09T11:52:43.181779,4.51533126831055,28.2496877101721,0.129352569580078,0.134414672851563,1580,6,6;25;12;12;
2016-03-09T11:52:44.287890,4.51526260375977,28.2492581177456,0.129714965820313,0.134414672851563,1580,22,6;43;12;50;
2016-03-09T11:52:45.396001,4.51009368896484,28.2169193545231,0.129985809326172,0.135238647460938,1724,9,12;37;6;12;
2016-03-09T11:52:46.503111,4.51459121704102,28.2450576584635,0.129501342773438,0.135238647460938,2395,32,6;31;12;12;
2016-03-09T11:52:47.595220,4.51416397094727,28.2423846389204,0.129756927490234,0.135238647460938,1844,18,50;19;19;12;
2016-03-09T11:52:48.687330,4.51579284667969,28.2525755259285,0.130176544189453,0.135242462158203,1844,7,50;19;6;6;
2016-03-09T11:52:49.781439,4.51777648925781,28.2649859738073,0.132274627685547,0.135242462158203,2395,18,19;0;12;12;
2016-03-09T11:52:50.902551,4.51806640625,28.2667998084972,0.130504608154297,0.135242462158203,1580,11,0;0;0;0;
2016-03-09T11:52:52.026664,4.51801681518555,28.2664895473003,0.130508422851563,0.135242462158203,1580,5,18;12;6;12;
2016-03-09T11:52:53.211782,4.51808547973633,28.2669191397268,0.130813598632813,0.135242462158203,1580,9,6;12;12;0;
2016-03-09T11:52:54.334894,4.51805877685547,28.2667520760054,0.130882263183594,0.135242462158203,1580,14,0;0;0;0;
2016-03-09T11:52:55.443005,4.51590347290039,28.2532676470602,0.131061553955078,0.135242462158203,2395,23,6;37;6;0;
2016-03-09T11:52:56.550116,4.51893997192383,28.2722651788131,0.131458282470703,0.135242462158203,1580,3,0;6;6;0;
2016-03-09T11:52:57.670228,4.51884460449219,28.2716685226651,0.131492614746094,0.135242462158203,2395,10,0;12;12;6;
2016-03-09T11:52:58.750336,4.51529312133789,28.2494490477129,0.131675720214844,0.135242462158203,1724,3,19;19;19;12;
2016-03-09T11:52:59.848446,4.51527786254883,28.2493535827292,0.131675720214844,0.135242462158203,2395,5,19;25;6;0;
2016-03-09T11:53:00.935554,4.51528549194336,28.2494013152211,0.131675720214844,0.135242462158203,1580,11,6;0;0;0;
2016-03-09T11:53:02.057667,4.51528549194336,28.2494013152211,0.131675720214844,0.135242462158203,1580,4,0;0;0;0;
2016-03-09T11:53:03.196780,4.51523208618164,28.2490671877782,0.131717681884766,0.135242462158203,2395,0,6;0;19;0;
2016-03-09T11:53:04.289890,4.51528167724609,28.2493774489752,0.131717681884766,0.135242462158203,2371,4,6;0;18;6;
2016-03-09T11:53:05.380999,4.51531600952148,28.2495922451884,0.131717681884766,0.135242462158203,1580,9,25;6;25;0;
2016-03-09T11:53:06.474108,4.51533508300781,28.249711576418,0.131717681884766,0.135242462158203,1580,11,12;12;0;0;
2016-03-09T11:53:07.567217,4.51528549194336,28.2494013152211,0.130420684814453,0.135242462158203,2395,18,0;0;6;0;
